序号,服务,模块,端口,请求方法,接口路径,Controller,处理方法,接口说明,源码位置,映射注解行,处理方法行,映射注解
893,qdata-server,mc,8080,GET,/mc/taskInstance/list,McTaskInstanceController,list,查询采集任务实例列表,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskInstanceController.java,46,47,@GetMapping
894,qdata-server,mc,8080,DELETE,/mc/taskInstance/{ids},McTaskInstanceController,remove,删除采集任务实例,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskInstanceController.java,102,103,@DeleteMapping
895,qdata-server,mc,8080,GET,/mc/taskInstance/{id},McTaskInstanceController,getInfo,获取采集任务实例详细信息,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskInstanceController.java,74,75,@GetMapping
896,qdata-server,mc,8080,POST,/mc/taskInstanceLog,McTaskInstanceLogController,add,新增采集任务实例-日志,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskInstanceLogController.java,69,70,@PostMapping
897,qdata-server,mc,8080,PUT,/mc/taskInstanceLog,McTaskInstanceLogController,edit,修改采集任务实例-日志,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskInstanceLogController.java,79,80,@PutMapping
898,qdata-server,mc,8080,POST,/mc/taskInstanceLog/export,McTaskInstanceLogController,export,导出采集任务实例-日志列表,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskInstanceLogController.java,52,53,@PostMapping
899,qdata-server,mc,8080,GET,/mc/taskInstanceLog/list,McTaskInstanceLogController,list,查询采集任务实例-日志列表,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskInstanceLogController.java,44,45,@GetMapping
900,qdata-server,mc,8080,GET,/mc/taskInstanceLog/{id},McTaskInstanceLogController,getInfo,获取采集任务实例-日志详细信息,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskInstanceLogController.java,61,62,@GetMapping
901,qdata-server,mc,8080,DELETE,/mc/taskInstanceLog/{taskInstanceIds},McTaskInstanceLogController,remove,删除采集任务实例-日志,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskInstanceLogController.java,89,90,@DeleteMapping
902,qdata-server,mc,8080,POST,/mc/taskScheduler,McTaskSchedulerController,add,新增数据集成调度信息,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskSchedulerController.java,82,83,@PostMapping
903,qdata-server,mc,8080,PUT,/mc/taskScheduler,McTaskSchedulerController,edit,修改数据集成调度信息,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskSchedulerController.java,92,93,@PutMapping
904,qdata-server,mc,8080,POST,/mc/taskScheduler/export,McTaskSchedulerController,export,导出数据集成调度信息列表,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskSchedulerController.java,54,55,@PostMapping
905,qdata-server,mc,8080,POST,/mc/taskScheduler/importData,McTaskSchedulerController,importData,导入数据集成调度信息列表,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskSchedulerController.java,64,65,@PostMapping
906,qdata-server,mc,8080,GET,/mc/taskScheduler/list,McTaskSchedulerController,list,查询数据集成调度信息列表,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskSchedulerController.java,46,47,@GetMapping
907,qdata-server,mc,8080,DELETE,/mc/taskScheduler/{ids},McTaskSchedulerController,remove,删除数据集成调度信息,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskSchedulerController.java,102,103,@DeleteMapping
908,qdata-server,mc,8080,GET,/mc/taskScheduler/{id},McTaskSchedulerController,getInfo,获取数据集成调度信息详细信息,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskSchedulerController.java,74,75,@GetMapping
909,qdata-server,mc,8080,POST,/mc/taskScope,McTaskScopeController,add,新增采集范围,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskScopeController.java,82,83,@PostMapping
910,qdata-server,mc,8080,PUT,/mc/taskScope,McTaskScopeController,edit,修改采集范围,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskScopeController.java,92,93,@PutMapping
911,qdata-server,mc,8080,POST,/mc/taskScope/export,McTaskScopeController,export,导出采集范围列表,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskScopeController.java,54,55,@PostMapping
912,qdata-server,mc,8080,POST,/mc/taskScope/importData,McTaskScopeController,importData,导入采集范围列表,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskScopeController.java,64,65,@PostMapping
913,qdata-server,mc,8080,GET,/mc/taskScope/list,McTaskScopeController,list,查询采集范围列表,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskScopeController.java,46,47,@GetMapping
914,qdata-server,mc,8080,DELETE,/mc/taskScope/{ids},McTaskScopeController,remove,删除采集范围,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskScopeController.java,102,103,@DeleteMapping
915,qdata-server,mc,8080,GET,/mc/taskScope/{id},McTaskScopeController,getInfo,获取采集范围详细信息,qdata-module-mc/qdata-module-mc-biz/src/main/java/tech/qiantong/qdata/module/mc/controller/admin/task/McTaskScopeController.java,74,75,@GetMapping
916,qdata-server,server,8080,ANY,/dev-api/example/**,DefaultController,example404,,qdata-server/src/main/java/tech/qiantong/qdata/server/controller/DefaultController.java,36,37,@RequestMapping
917,qdata-server,server,8080,ANY,/example/**,DefaultController,example404,,qdata-server/src/main/java/tech/qiantong/qdata/server/controller/DefaultController.java,36,37,@RequestMapping
918,qdata-server,server,8080,ANY,/prod-api/example/**,DefaultController,example404,,qdata-server/src/main/java/tech/qiantong/qdata/server/controller/DefaultController.java,36,37,@RequestMapping
919,qdata-server,system,8080,ANY,/,SysIndexController,index,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysIndexController.java,42,43,@RequestMapping
920,qdata-server,system,8080,POST,/ca/cert,CaCertController,add,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/ca/CaCertController.java,119,120,@PostMapping
921,qdata-server,system,8080,PUT,/ca/cert,CaCertController,edit,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/ca/CaCertController.java,152,153,@PutMapping
922,qdata-server,system,8080,POST,/ca/cert/export,CaCertController,export,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/ca/CaCertController.java,96,97,@PostMapping
923,qdata-server,system,8080,GET,/ca/cert/list,CaCertController,list,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/ca/CaCertController.java,83,84,@GetMapping
924,qdata-server,system,8080,DELETE,/ca/cert/{ids},CaCertController,remove,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/ca/CaCertController.java,163,164,@DeleteMapping
925,qdata-server,system,8080,GET,/ca/cert/{id},CaCertController,getInfo,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/ca/CaCertController.java,108,109,@GetMapping
926,qdata-server,system,8080,POST,/ca/subject,CaSubjectController,add,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/ca/CaSubjectController.java,112,113,@PostMapping
927,qdata-server,system,8080,PUT,/ca/subject,CaSubjectController,edit,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/ca/CaSubjectController.java,141,142,@PutMapping
928,qdata-server,system,8080,POST,/ca/subject/export,CaSubjectController,export,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/ca/CaSubjectController.java,89,90,@PostMapping
929,qdata-server,system,8080,GET,/ca/subject/list,CaSubjectController,list,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/ca/CaSubjectController.java,76,77,@GetMapping
930,qdata-server,system,8080,DELETE,/ca/subject/{ids},CaSubjectController,remove,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/ca/CaSubjectController.java,152,153,@DeleteMapping
931,qdata-server,system,8080,GET,/ca/subject/{id},CaSubjectController,getInfo,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/ca/CaSubjectController.java,101,102,@GetMapping
932,qdata-server,system,8080,GET,/captchaImage,CaptchaController,getCode,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/common/CaptchaController.java,64,65,@GetMapping
933,qdata-server,system,8080,GET,/common/download,CommonController,fileDownload,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/common/CommonController.java,83,84,@GetMapping
934,qdata-server,system,8080,GET,/common/download/resource,CommonController,resourceDownload,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/common/CommonController.java,160,161,@GetMapping
935,qdata-server,system,8080,POST,/common/getCsvColumn,CommonController,getCsvColumn,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/common/CommonController.java,214,215,@PostMapping
936,qdata-server,system,8080,POST,/common/getExcelColumn,CommonController,getExcelColumn,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/common/CommonController.java,187,188,@PostMapping
937,qdata-server,system,8080,POST,/common/upload,CommonController,uploadFile,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/common/CommonController.java,106,107,@PostMapping
938,qdata-server,system,8080,POST,/common/uploads,CommonController,uploadFiles,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/common/CommonController.java,128,129,@PostMapping
939,qdata-server,system,8080,GET,/getInfo,SysLoginController,getInfo,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysLoginController.java,88,89,@GetMapping
940,qdata-server,system,8080,GET,/getRouters,SysLoginController,getRouters,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysLoginController.java,107,108,@GetMapping
941,qdata-server,system,8080,GET,/getRoutersDpp/{id},SysLoginController,getRoutersDpp,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysLoginController.java,119,120,@GetMapping
942,qdata-server,system,8080,POST,/login,SysLoginController,login,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysLoginController.java,66,67,@PostMapping
943,qdata-server,system,8080,GET,/monitor/cache,CacheController,getInfo,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/CacheController.java,57,58,@GetMapping
944,qdata-server,system,8080,DELETE,/monitor/cache/clearCacheAll,CacheController,clearCacheAll,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/CacheController.java,122,123,@DeleteMapping
945,qdata-server,system,8080,DELETE,/monitor/cache/clearCacheKey/{cacheKey},CacheController,clearCacheKey,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/CacheController.java,114,115,@DeleteMapping
946,qdata-server,system,8080,DELETE,/monitor/cache/clearCacheName/{cacheName},CacheController,clearCacheName,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/CacheController.java,105,106,@DeleteMapping
947,qdata-server,system,8080,GET,/monitor/cache/getKeys/{cacheName},CacheController,getCacheKeys,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/CacheController.java,88,89,@GetMapping
948,qdata-server,system,8080,GET,/monitor/cache/getNames,CacheController,cache,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/CacheController.java,81,82,@GetMapping
949,qdata-server,system,8080,GET,/monitor/cache/getValue/{cacheName}/{cacheKey},CacheController,getCacheValue,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/CacheController.java,96,97,@GetMapping
950,qdata-server,system,8080,DELETE,/monitor/logininfor/clean,SysLogininforController,clean,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/SysLogininforController.java,82,83,@DeleteMapping
951,qdata-server,system,8080,POST,/monitor/logininfor/export,SysLogininforController,export,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/SysLogininforController.java,64,65,@PostMapping
952,qdata-server,system,8080,GET,/monitor/logininfor/list,SysLogininforController,list,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/SysLogininforController.java,54,55,@GetMapping
953,qdata-server,system,8080,GET,/monitor/logininfor/unlock/{userName},SysLogininforController,unlock,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/SysLogininforController.java,91,92,@GetMapping
954,qdata-server,system,8080,DELETE,/monitor/logininfor/{infoIds},SysLogininforController,remove,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/SysLogininforController.java,74,75,@DeleteMapping
955,qdata-server,system,8080,GET,/monitor/online/list,SysUserOnlineController,list,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/SysUserOnlineController.java,57,58,@GetMapping
956,qdata-server,system,8080,DELETE,/monitor/online/{tokenId},SysUserOnlineController,forceLogout,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/SysUserOnlineController.java,92,93,@DeleteMapping
957,qdata-server,system,8080,DELETE,/monitor/operlog/clean,SysOperlogController,clean,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/SysOperlogController.java,78,79,@DeleteMapping
958,qdata-server,system,8080,POST,/monitor/operlog/export,SysOperlogController,export,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/SysOperlogController.java,60,61,@PostMapping
959,qdata-server,system,8080,GET,/monitor/operlog/list,SysOperlogController,list,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/SysOperlogController.java,50,51,@GetMapping
960,qdata-server,system,8080,DELETE,/monitor/operlog/{operIds},SysOperlogController,remove,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/SysOperlogController.java,70,71,@DeleteMapping
961,qdata-server,system,8080,GET,/monitor/server,ServerController,getInfo,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/monitor/ServerController.java,38,39,@GetMapping
962,qdata-server,system,8080,ANY,/oauth2/codeLogin,AuthController,codeLogin,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/auth/AuthController.java,84,86,@RequestMapping
963,qdata-server,system,8080,ANY,/oauth2/getUserinfo,AuthController,getUserinfo,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/auth/AuthController.java,231,232,@RequestMapping
964,qdata-server,system,8080,ANY,/oauth2/sso/logout,AuthController,loginOut,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/auth/AuthController.java,256,257,@RequestMapping
965,qdata-server,system,8080,POST,/register,SysRegisterController,register,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysRegisterController.java,46,47,@PostMapping
966,qdata-server,system,8080,POST,/syncData,SysSyncDataController,syncData,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysSyncDataController.java,50,52,@PostMapping
967,qdata-server,system,8080,GET,/sys/content/{id},SystemContentController,getInfo,Get system configuration details,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SystemContentController.java,66,67,@GetMapping
968,qdata-server,system,8080,POST,/system/config,SysConfigController,add,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysConfigController.java,95,96,@PostMapping
969,qdata-server,system,8080,PUT,/system/config,SysConfigController,edit,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysConfigController.java,111,112,@PutMapping
970,qdata-server,system,8080,GET,/system/config/configKey/{configKey},SysConfigController,getConfigKey,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysConfigController.java,84,85,@GetMapping
971,qdata-server,system,8080,POST,/system/config/export,SysConfigController,export,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysConfigController.java,63,64,@PostMapping
972,qdata-server,system,8080,GET,/system/config/list,SysConfigController,list,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysConfigController.java,53,54,@GetMapping
973,qdata-server,system,8080,DELETE,/system/config/refreshCache,SysConfigController,refreshCache,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysConfigController.java,139,140,@DeleteMapping
974,qdata-server,system,8080,DELETE,/system/config/{configIds},SysConfigController,remove,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysConfigController.java,127,128,@DeleteMapping
975,qdata-server,system,8080,GET,/system/config/{configId},SysConfigController,getInfo,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysConfigController.java,75,76,@GetMapping
976,qdata-server,system,8080,POST,/system/content/edit,SystemContentController,edit,Modify system configuration,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SystemContentController.java,86,87,@PostMapping
977,qdata-server,system,8080,GET,/system/content/list,SystemContentController,list,Query system configuration list,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SystemContentController.java,57,58,@GetMapping
978,qdata-server,system,8080,POST,/system/dept,SysDeptController,add,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDeptController.java,94,95,@PostMapping
979,qdata-server,system,8080,PUT,/system/dept,SysDeptController,edit,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDeptController.java,110,111,@PutMapping
980,qdata-server,system,8080,GET,/system/dept/list,SysDeptController,list,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDeptController.java,58,59,@GetMapping
981,qdata-server,system,8080,GET,/system/dept/list/exclude/{deptId},SysDeptController,excludeChild,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDeptController.java,69,70,@GetMapping
982,qdata-server,system,8080,GET,/system/dept/test,SysDeptController,test,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDeptController.java,49,50,@GetMapping
983,qdata-server,system,8080,DELETE,/system/dept/{deptId},SysDeptController,remove,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDeptController.java,136,137,@DeleteMapping
984,qdata-server,system,8080,GET,/system/dept/{deptId},SysDeptController,getInfo,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDeptController.java,82,83,@GetMapping
985,qdata-server,system,8080,POST,/system/dict/data,SysDictDataController,add,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDictDataController.java,103,104,@PostMapping
986,qdata-server,system,8080,PUT,/system/dict/data,SysDictDataController,edit,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDictDataController.java,115,116,@PutMapping
987,qdata-server,system,8080,POST,/system/dict/data/export,SysDictDataController,export,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDictDataController.java,66,67,@PostMapping
988,qdata-server,system,8080,GET,/system/dict/data/list,SysDictDataController,list,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDictDataController.java,56,57,@GetMapping
989,qdata-server,system,8080,GET,/system/dict/data/type/{dictType},SysDictDataController,dictType,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDictDataController.java,87,88,@GetMapping
990,qdata-server,system,8080,DELETE,/system/dict/data/{dictCodes},SysDictDataController,remove,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDictDataController.java,127,128,@DeleteMapping
991,qdata-server,system,8080,GET,/system/dict/data/{dictCode},SysDictDataController,getInfo,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDictDataController.java,78,79,@GetMapping
992,qdata-server,system,8080,POST,/system/dict/type,SysDictTypeController,add,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDictTypeController.java,91,92,@PostMapping
993,qdata-server,system,8080,PUT,/system/dict/type,SysDictTypeController,edit,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDictTypeController.java,107,108,@PutMapping
994,qdata-server,system,8080,GET,/system/dict/type/batchDictData,SysDictTypeController,batchGenCode,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDictTypeController.java,152,153,@GetMapping
995,qdata-server,system,8080,POST,/system/dict/type/export,SysDictTypeController,export,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDictTypeController.java,68,69,@PostMapping
996,qdata-server,system,8080,GET,/system/dict/type/list,SysDictTypeController,list,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDictTypeController.java,58,59,@GetMapping
997,qdata-server,system,8080,GET,/system/dict/type/optionselect,SysDictTypeController,optionselect,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDictTypeController.java,145,146,@GetMapping
998,qdata-server,system,8080,DELETE,/system/dict/type/refreshCache,SysDictTypeController,refreshCache,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDictTypeController.java,135,136,@DeleteMapping
999,qdata-server,system,8080,DELETE,/system/dict/type/{dictIds},SysDictTypeController,remove,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDictTypeController.java,123,124,@DeleteMapping
1000,qdata-server,system,8080,GET,/system/dict/type/{dictId},SysDictTypeController,getInfo,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysDictTypeController.java,80,81,@GetMapping
1001,qdata-server,system,8080,POST,/system/menu,SysMenuController,add,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysMenuController.java,145,146,@PostMapping
1002,qdata-server,system,8080,PUT,/system/menu,SysMenuController,edit,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysMenuController.java,165,166,@PutMapping
1003,qdata-server,system,8080,GET,/system/menu/list,SysMenuController,list,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysMenuController.java,52,53,@GetMapping
1004,qdata-server,system,8080,GET,/system/menu/roleMenuTreeselect/{roleId},SysMenuController,roleMenuTreeselect,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysMenuController.java,102,103,@GetMapping
1005,qdata-server,system,8080,GET,/system/menu/roleMenuTreeselectDpp/{roleId},SysMenuController,roleMenuTreeselectDpp,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysMenuController.java,128,129,@GetMapping
1006,qdata-server,system,8080,GET,/system/menu/roleMenuTreeselectNoDpp/{roleId},SysMenuController,roleMenuTreeselectNoDpp,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysMenuController.java,115,116,@GetMapping
1007,qdata-server,system,8080,GET,/system/menu/treeselect,SysMenuController,treeselect,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysMenuController.java,72,73,@GetMapping
1008,qdata-server,system,8080,GET,/system/menu/treeselectDpp,SysMenuController,treeselectDpp,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysMenuController.java,92,93,@GetMapping
1009,qdata-server,system,8080,GET,/system/menu/treeselectNoDpp,SysMenuController,treeselectNoDpp,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysMenuController.java,82,83,@GetMapping
1010,qdata-server,system,8080,DELETE,/system/menu/{menuId},SysMenuController,remove,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysMenuController.java,189,190,@DeleteMapping
1011,qdata-server,system,8080,GET,/system/menu/{menuId},SysMenuController,getInfo,,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/SysMenuController.java,63,64,@GetMapping
1012,qdata-server,system,8080,POST,/system/message,MessageController,add,Add message,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/message/MessageController.java,98,99,@PostMapping
1013,qdata-server,system,8080,PUT,/system/message,MessageController,edit,Modify message,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/message/MessageController.java,116,117,@PutMapping
1014,qdata-server,system,8080,POST,/system/message/export,MessageController,export,Export message list,qdata-module-system/qdata-module-system-biz/src/main/java/tech/qiantong/qdata/module/system/controller/admin/system/message/MessageController.java,80,81,@PostMapping
